volunteer,track,date,time,sky,rain,latitude,longitude,closest trap/tracking tunnel,band,new bands,age,sex,# mealworms given,# fed to partner/nestlings/fledglings,# consumed,# cached,interaction,other animal sighting/s,"notes, other activity",trap,lat,lng,aka
rachel w,Highbury Fling,2023-04-04,13:30,Mostly clear,None,,,62,WM-GY,,S,M,,,,,Known territory,,In his usual area between 62 and 61 ,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-04,13:40,Mostly clear,None,,,57,YR-WM,,S,Un,,,,,Known territory,,In the middle of the path in the clearing by the seat,57,-41.302015373577966,174.7501822420483,
rachel w,Highbury Fling,2023-04-04,13:50,Mostly clear,None,,,72,,,Un,Un,,,,,Incidental,,Right at the start of Highbury Fling. Quite curious so probably the same bird that was at 70 on the way in,72,-41.29597305203546,174.7521137833145,
rachel w,Clinical,2023-04-05,15:30,Mostly clear,None,,,,,,,,,,,,None observed,,Up Clinical and down the George Denton track. No toutouwai seen or heard,,,,
rachel w,Other,2023-04-08,10:20,Partly cloudy,None,,,87,,,,,,,,,None observed,,Nothing seen or heard at Kaka box,87,-41.29857716678905,174.75116539342096,Kaka Box
rachel w,Highbury Fling,2023-04-08,10:50,Partly cloudy,None,,,62,,,,Un,,,,,None observed,,Unusually quiet by Lone Pine,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-08,11:11,Partly cloudy,None,,,60,,,Un,Un,4,,3,1,Incidental,,Appeared from downhill making blipping sounds. Used to mealworms so seems to be a UB we've seen before maybe from the 55-57 area ,60,-41.30070169356118,174.7507425715453,
rachel w,Highbury Fling,2023-04-08,11:25,Partly cloudy,None,,,Hoki Mai,YR-WM,,,,,,,,Known territory,Tieke,Top of Hoki Mai,Hoki Mai,-41.302901091488565,174.7504022194934,
rachel w,Highbury Fling,2023-04-08,11:35,Partly cloudy,None,,,Hoki Mai,YM-OR,,Un,M,3,,2,1,Known territory,,"Very bottom of Hoki Mai. Heard singing, tapped to summon. May have been another bird nearby but unsure ",Hoki Mai,-41.302901091488565,174.7504022194934,
rachel w,Highbury Fling,2023-04-08,11:45,Partly cloudy,None,,,Hoki Mai,WM-BY,,Un,Un,,,,,Known territory,,Top of Hoki Mai. Joined YR shortly before I left. Seemed to be slightly favouring its left leg ,Hoki Mai,-41.302901091488565,174.7504022194934,
rachel w,Highbury Fling,2023-04-08,12:00,Partly cloudy,None,,,64,,,,,,,,,None observed,,No WM-RR today,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-04-08,12:20,Partly cloudy,None,,,66,YM-OW,,,,,,,,Known territory,,,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-04-08,12:30,Partly cloudy,None,,,72,,,,,,,,,Call heard only,,Loud song heard quite a way downhill sounded like down by outskirts of George Denton Park ,72,-41.29597305203546,174.7521137833145,
rachel w,Other,2023-04-09,11:20,Mostly clear,None,,,87,WM-GG,,Un,Un,,,,,Known territory,korimako,Almost next to kaka box,87,-41.29857716678905,174.75116539342096,Kaka Box
rachel w,Other,2023-04-09,11:35,Mostly clear,None,,,87-62,RG-WM,,Un,M,2,,2,,Known territory,,loud singing up the stream that's near kaka box. tolerated WM-GG,87,-41.29857716678905,174.75116539342096,Kaka Box
rachel w,Highbury Fling,2023-04-09,11:50,Mostly clear,None,,,62,,,Un,Un,2,,2,,Known territory,,near Lone Pine. RG-WM eventually followed me uphill and started chasing U ,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-09,12:30,Mostly clear,None,,,64-63,WM-RR,,Un,M,2,,2,,Known territory,,looked a little scruffy,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-04-09,12:37,Mostly clear,None,,,66,,,,,,,,,Call heard only,Eastern Rosella,Singing from down valley (OW's territory),66,-41.29769233642708,174.7505392149956,
simon,Highbury Fling,2023-04-09,14:30,Mostly clear,None,,,55,,,Un,Un,,,,,Incidental,,Had a big rumble with OR,55,-41.30279995570507,174.75039736514165,
simon,Highbury Fling,2023-04-09,14:30,Mostly clear,None,,,55,YM-OR,,Un,Un,,,,,Incidental,,Saw a hihi as well,55,-41.30279995570507,174.75039736514165,
tracey,Highbury Fling,2023-04-09,15:50,Mostly clear,None,,,Lone Pine ,RG-WM,,Un,M,,,,,Incidental,,Also saw a tīeke,62,-41.29955626741264,174.75077038396424,
tracey,Highbury Fling,2023-04-09,16:29,Mostly clear,None,,,69,,,Un,Un,,,,,Incidental,,,69,-41.297615511594586,174.75170423474674,
rachel w,Highbury Fling,2023-04-10,13:30,Partly cloudy,None,,,66,YM-OW,,Un,M,,,,,Known territory,,,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-04-10,14:03,Partly cloudy,None,,,Hoki Mai,YM-OR,,Un,M,,,,,Known territory,,,Hoki Mai,-41.302901091488565,174.7504022194934,
rachel w,Highbury Fling,2023-04-10,14:20,Partly cloudy,Moderate,,,62-61,,,Un,Un,,,,,Known territory,,Appeared near the drain that goes under the track and the pool. Started singing very softly,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-10,14:40,Partly cloudy,Moderate,,,66-67,YM-OW,,S,M,,,,,Known territory,,Yelling at someone up the hill,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-04-10,15:30,Partly cloudy,Moderate,,,70,,,Un,Un,,,,,Known territory,"Tieke x 3, lots of whiteheads",Dropped my earbud just off track. Both UB and OW showed up while I was there and helped me rummage,70,-41.297329803730925,174.75185745955508,
rachel w,Highbury Fling,2023-04-10,15:30,Partly cloudy,Moderate,,,70,YM-OW,,S,M,,,,,Incidental,,Dropped my earbud just off track. Both UB and OW showed up while I was there and helped me rummage,70,-41.297329803730925,174.75185745955508,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,54-5,YM-OR,,S,M,,,,,Known territory,"male hihi, 1 popokatea, 1 fantail",Followed him for a long time but no-one else around,54,-41.303285003271974,174.75096795678147,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,57,WM-BY,,,,,,,,Known territory,,Both by the seat. YM-OR soon joined them and there was a bit of chasing .,57,-41.302015373577966,174.7501822420483,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,57,YR-WM,,,,,,,,Known territory,,,57,-41.302015373577966,174.7501822420483,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,58-59,WM-WR,WM-WR,S,Un,,,,,Banding visit,,,58,-41.30154391398336,174.75075768904915,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,58-59,RG-WM,,S,M,,,,,Banding visit,,"After I had been there about 30 mins catching and banding WM-WR, these 2 appeared. ",58,-41.30154391398336,174.75075768904915,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,58-59,WM-GG,,S,Un,,,,,Banding visit,,"After I had been there about 30 mins catching and banding WM-WR, these 2 appeared. ",58,-41.30154391398336,174.75075768904915,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,60,,,,,,,,,Banding visit,,UB sitting quietly below track but before I cd get its attention RG-WM arrived and chased it and I cd not find it again.,60,-41.30070169356118,174.7507425715453,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,60,RG-WM,,,,,,,,Banding visit,,,60,-41.30070169356118,174.7507425715453,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,63,WM-RR,,,,,,,,Known territory,Ruru being mobbed by blackbirds 63-64,,63,-41.29896942789763,174.7507283955656,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,70,,,,,,,,,None observed,,none observed,70,-41.297329803730925,174.75185745955508,
annette h,Highbury Fling,2023-04-12,09:30,Partly cloudy,None,,,62,YY-WM,YY-WM,,,,,,,Banding visit,,"May be the one I saw earlier at 60, chased by RG-WM",62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-14,14:10,Partly cloudy,None,,,65-57,,,,,,,,,None observed,"Juvenile Tieke at 62, 2 x kakariki at 59",Unusually quiet this afternoon but cold and windy,65,-41.29814526261168,174.7508770999221,
rachel w,Highbury Fling,2023-04-14,14:56,Partly cloudy,None,,,63,,,,,,,,,None observed,"Titipounamu (F): RM-WB, TItipounamu (M): unknown bands",,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-04-14,17:10,Partly cloudy,None,,,66,YM-OW,,S,M,,,,,Known territory,,"Heard him blipping just uphill of 66. Called out, ""Is that you Owen?"" and he came over so I guess that's his name now",66,-41.29769233642708,174.7505392149956,
camera trap 61,Highbury Fling,2023-04-15,13:03,Mostly clear,None,,,61,,,,,,,,,Incidental,,Unbanded picked up on Trail Cam. As I did not interact with it directly I'm not sure how shy it is,61,-41.299977561255695,174.75064038086316,
camera trap 61,Highbury Fling,2023-04-15,14:55,Mostly clear,None,,,61,WM-WR,,S,M,,,,,Known territory,,Browsing in front of trail camera,61,-41.299977561255695,174.75064038086316,
rachel w,Other,2023-04-16,09:50,Mostly clear,None,,,"87, Kaka nest box",RG-WM,,,,3,,,,Known territory,,At the kaka nest. Tapped to see who was around RG and some fantails appeared,87,-41.29857716678905,174.75116539342096,Kaka Box
rachel w,Highbury Fling,2023-04-16,10:15,Mostly clear,None,,,55,,,Un,Un,5,,3,2,Incidental,,Tapped and made noise as there was some very distant singing and this unbanded appeared down the hill. Very cautious at first and took a long time to approach but very keen on mealworms ,55,-41.30279995570507,174.75039736514165,
rachel w,Highbury Fling,2023-04-16,10:30,Mostly clear,None,,,Hoki Mai,YM-OR,,S,M,2,,2,,Known territory,,Distant singer sounded like it was below Hoki Mai and further South. Went down and tapped around and YM-OR showed up. Was probably him but thought I heard one additional burst of song in distance,Hoki Mai,-41.302901091488565,174.7504022194934,
rachel w,Highbury Fling,2023-04-16,10:45,Mostly clear,None,,,56-57,,,,,,,,,Call heard only,,Singing above Hoki Mai and 57 area but quite far away. Did not try reach them or lure them to me as YM-OR was following,56,-41.30243644856764,174.7503613804481,
rachel w,Highbury Fling,2023-04-16,11:00,Mostly clear,None,,,62-63,,,,,,,,,None observed,Titipounamu F & M at Trap 63: PuW-RM and CC-RM,,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-16,11:15,Mostly clear,None,,,66,,,,,,,,,Call heard only,,"Loud singing downhill, did not attempt to summon as it was most likely YM-OW ",66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-04-17,11:50,Mostly clear,None,,,62-64,YY-WM,,,,2,,1,1,Known territory,,Making a loud alarm call down the hill near Lone Pine. Called it over to see who it was.,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-17,12:00,Mostly clear,None,,,61-62,Y-BM,,,,,,,,Incidental,,Tourist. Having a swim in the pool between 61-62. Did not engage but tried to see bands. Was eventually chased away by another toutouwai,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2023-04-17,12:10,Mostly clear,None,,,55,,,,,4,,3,,Known territory,,Stood near same spot as yesterday and tapped. Bird appeared quickly right by the path,55,-41.30279995570507,174.75039736514165,
rachel w,Highbury Fling,2023-04-17,12:30,Mostly clear,None,,,57,,,,,,,,,None observed,,,57,-41.302015373577966,174.7501822420483,
rachel w,Highbury Fling,2023-04-17,12:40,Mostly clear,None,,,61,WM-WR,,,,,,,,Known territory,,Showed up while I checked camera,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2023-04-17,13:00,Mostly clear,None,,,70,,,,,,,,,Call heard only,,Loud singing down hill toward Clinical,70,-41.297329803730925,174.75185745955508,
rachel w,Highbury Fling,2023-04-19,14:20,Overcast,Moderate,,,66,YM-OW,,,,,,,,Known territory,,Valley below path,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-04-19,14:30,Overcast,Moderate,,,62,YY-WM,,,,,,,,Known territory,Tieke,On path,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-19,14:37,Overcast,Moderate,,,65,Skippy,,,,2,,2,,Known territory,,"On path, remains wary. Threw it a couple of worms off the side of path",65,-41.29814526261168,174.7508770999221,
rachel w,Highbury Fling,2023-04-19,14:37,Overcast,Moderate,,,73,U x 2,,,,,,,,Incidental,,Having a conversation in the middle of the path right at entrance to The Fling. Only a couple of meters from fence ,73,-41.295721219174766,174.75204963885506,
rachel w,Clinical,2023-04-20,14:22,Overcast,Light,,,82-81,YY-WM,,,,,,,,Known territory,,Heard blipping and singing from just up hill toward Lone Pine. Made a bit of noise and YY showed up,82,-41.2989813808858,174.75224327721347,
rachel w,Clinical,2023-04-20,14:22,Overcast,Light,,,82-81,GM-WY,,,,,,,,Incidental,,Accompanied YY-WM. They talked to each other for a bit. No chasing,82,-41.2989813808858,174.75224327721347,
rachel w,George Denton,2023-04-20,14:49,Overcast,None,,,74,,,,,,,,,Incidental,,Hyperactive. Appeared just below George Denton Park. Did not feed as close to fence and park where there are a lot of cats about,74,,,
melissa b,Highbury Fling,2023-04-21,09:00,Overcast,Showery,,,70,GM-?Y,,,,,,,,Incidental,,Definitely yellow band but unsure of other. Not friendly at all.,70,-41.297329803730925,174.75185745955508,
melissa b,Highbury Fling,2023-04-21,09:20,Overcast,Showery,,,62,WM-RR,,,,,,,,Known territory,,"Called brifedly then approached me, very friendly.",62,-41.29955626741264,174.75077038396424,
melissa b,Highbury Fling,2023-04-21,09:50,Overcast,Showery,,,61,WM-WR,,,,,,,,Known territory,,Calling loudly - chased off another toutouwai then had bath in pool of water.,61,-41.299977561255695,174.75064038086316,
rachel w,Other,2023-04-22,11:16,Overcast,Heavy,,,"87, Kaka next box",RG-WM,,,,,,,,Known territory,,RG started yelling and GG called back and appeared shortly after,87,-41.29857716678905,174.75116539342096,Kaka Box
rachel w,Highbury Fling,2023-04-22,11:16,Overcast,Heavy,,,87,WM-GG,,,,,,,,Known territory,,RG appeared while I was checking camera,87,-41.29857716678905,174.75116539342096,Kaka Box
rachel w,Highbury Fling,2023-04-22,11:44,Overcast,Heavy,,,55,,,,,,,,,None observed,"Male Hihi, possible ruru up-hill getting mobbed",No sign of earlier un-banded today,55,-41.30279995570507,174.75039736514165,
rachel w,Highbury Fling,2023-04-22,12:10,Overcast,Heavy,,,Hoki Mai,WM-BY,,,,,,,,Known territory,,Appeared half-way down Hoki Mai,Hoki Mai,-41.302901091488565,174.7504022194934,
rachel w,Highbury Fling,2023-04-22,12:20,Overcast,Heavy,,,Hoki Mai,YM-OR,,,,,,,,Known territory,,Very bottom of Hoki Mai,Hoki Mai,-41.302901091488565,174.7504022194934,
rachel w,Highbury Fling,2023-04-22,12:20,Overcast,Heavy,,,63,WM-RR,,,,,,,,Known territory,,On path,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-04-25,09:30,Mostly clear,None,,,70-71,,,,,,,,,Call heard only,,Singing downhill,70,-41.297329803730925,174.75185745955508,
rachel w,Highbury Fling,2023-04-25,09:50,Mostly clear,None,,,65,Skippy,,,,,,,,Known territory,,"Standing on path, flew away when it saw me. Very wary",65,-41.29814526261168,174.7508770999221,
rachel w,Highbury Fling,2023-04-25,10:00,Mostly clear,None,,,62,WM-WR,,,,3,,2,1,Known territory,Titipounamu: RM-RB & RM-WB,Heard calling but no one approached at first. Appeared and started following as I was walking away ,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-25,10:20,Mostly clear,None,,,55,YM-OR,,,,3,,3,,Incidental,,Tapped at 55 to try to lure out unbanded previously seen. OR showed up instead. He is usually at the bottom of Hoki Mai,55,-41.30279995570507,174.75039736514165,
melissa b,Highbury Fling,2023-04-25,10:20,Mostly clear,None,,,66,Skippy,,,,,,,,Incidental,,"Unbanded, injured leg. Was alarm calling and chasing another bird away (not toutouwai).",66,-41.29769233642708,174.7505392149956,
melissa b,Highbury Fling,2023-04-25,11:20,Mostly clear,None,,,55,,,,,,,,,Incidental,,"One of two unbanded birds, one extremely friendly, one pretty friendly. Seemed like they were friends.",55,-41.30279995570507,174.75039736514165,
melissa b,Highbury Fling,2023-04-27,11:20,Mostly clear,None,,,55,,,,,,,,,Incidental,,"Second of two unbanded birds. There was a third bird downhill in the gully which seemed annoyed at the two unbanded birds, but the unbanded birds seemed friendly towards eachother.",55,-41.30279995570507,174.75039736514165,
rachel w,Highbury Fling,2023-04-25,11:30,Mostly clear,None,,,62,YM-WPu,,,,,,,,Incidental,,Had a bath in the pool next to the track between 62 and 61. Don't know where she normally lives as she appears very infrequently but seemed to get along okay with WM who was still hanging around,62,-41.29955626741264,174.75077038396424,
lisa w,Clinical,2023-04-25,11:30,Mostly clear,None,,,81,GM-WY,,,,,,,,Incidental,,very curious,81,-41.29881565124148,174.75160611001144,
annette h,Highbury Fling,2023-04-26,11:30,Overcast,None,,,55,BB-WM,BB-WM,S,Un,,,,,Banding visit,,Bit shy and not familiar with worms. Just getting confident when YM-OR arrived and chased it.,55,-41.30279995570507,174.75039736514165,
annette h,Highbury Fling,2023-04-26,11:30,Overcast,None,,,55,YM-OR,,,,,,,,Known territory,,,55,-41.30279995570507,174.75039736514165,
annette h,Highbury Fling,2023-04-26,11:30,Overcast,None,,,Hoki Mai,WM-WY,WM-WY,,,,,,,Banding visit,2 juv tieke,Familiar with worms. Chased by WM-BY,Hoki Mai,-41.302901091488565,174.7504022194934,
annette h,Highbury Fling,2023-04-26,11:30,Overcast,None,,,Hoki Mai,WM-BY,,,,,,,,Known territory,,,Hoki Mai,-41.302901091488565,174.7504022194934,
annette h,Highbury Fling,2023-04-26,11:30,Overcast,None,,,57,,,,,,,,,None observed,,,57,-41.302015373577966,174.7501822420483,
annette h,Highbury Fling,2023-04-26,11:30,Overcast,None,,,62,WM-WR,,,,,,,,Known territory,,,62,-41.29955626741264,174.75077038396424,
annette h,Highbury Fling,2023-04-26,11:30,Overcast,None,,,62,WM-GR,WM-GR,,,,,,,Banding visit,,"Not familiar with worms. Tiny, and shy.",62,-41.29955626741264,174.75077038396424,
annette h,Highbury Fling,2023-04-26,11:30,Overcast,None,,,63,,,,,,,,,None observed,,,63,-41.29896942789763,174.7507283955656,
annette h,Highbury Fling,2023-04-26,11:30,Overcast,None,,,66,,,,,,,,,None observed,,,66,-41.29769233642708,174.7505392149956,
annette h,Highbury Fling,2023-04-26,11:30,Overcast,None,,,70,,,,,,,,,None observed,,,70,-41.297329803730925,174.75185745955508,
rachel w,Highbury Fling,2023-04-27,12:00,Mostly clear,None,,,67-66,,,,,,,,,Call heard only,,Distant singing heard briefly far down hill. No sign of OW though,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-04-27,12:10,Mostly clear,None,,,73-73.1,WM-RR,,,,,,,,Known territory,,Appeared from downhill,73,-41.295721219174766,174.75204963885506,
rachel w,Highbury Fling,2023-04-27,12:20,Mostly clear,None,,,62,WM-GR,,,,,,,,Known territory,,A little shy. Waited for them to come over so I could see who they were. Will try to keep them shy though,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-27,12:30,Mostly clear,None,,,55,,,,,,,,,None observed,,Hung around for a while. Didn't see anyone,55,-41.30279995570507,174.75039736514165,
rachel w,Highbury Fling,2023-04-27,12:45,Mostly clear,None,,,Hoki Mai,WM-BY,,,,,,,,Known territory,,Appeared from uphill. Still amost 2 weeks since YR showed up,Hoki Mai,-41.302901091488565,174.7504022194934,
lisa w,Other,2023-04-27,10.45,Mostly clear,None,,,"87, Kaka nest box",RG-WM,,,,,,,,Incidental,,"Hung around, familiar with worms",87,-41.29857716678905,174.75116539342096,Kaka Box
rachel w,Highbury Fling,2023-04-27,12:50,Mostly clear,None,,,62,WM-WR,,,,,,,,Known territory,Titipounamu: RM-RB & RM-WB,Appeared on the uphill talking quietly to a distant WM-GR. WM-RR then showed up and they had a fight while GR watched,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-28,13:00,Mostly clear,None,,,Hoki Mai,YM-OR,,,,,,,,Known territory,,Came down from the bottom of Hoki Mai while I took a shortcut up from Waimapihi Stream Loop,Hoki Mai,-41.302901091488565,174.7504022194934,
melissa b,Highbury Fling,2023-04-28,14:15,Mostly clear,None,,,63,WM-RR,,,,,,,,Incidental,Titipounamu: CC-RM & PuW-RM,Very quiet but inquisitive. Seemed quite lethargic and slow moving.,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-04-29,13:30,Partly cloudy,None,,,66,,,,,,,,,None observed,,Still no sign of OW,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-04-29,13:55,Partly cloudy,None,,,62-61,WM-WR,,,,,,,,Known territory,,Appeared when I set up camera,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-29,13:55,Partly cloudy,None,,,62-61,WM-GR,,,,,,,,Known territory,Juvenile tieke,Following me along with WR,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-04-29,14:36,Partly cloudy,None,,,55,,,,,4,,3,1,Known territory,Karearea above the valley earlier,"Call heard downhill (maybe OR), this guy appeared from uphill and was slow to approach",55,-41.30279995570507,174.75039736514165,
rachel w,Highbury Fling,2023-04-29,14:36,Partly cloudy,None,,,55,BB-WM,,,,2,,2,,Known territory,,"Once he had his second worm, the unbanded started calling with it in his mouth. BB-WM appeared also from uphill",55,-41.30279995570507,174.75039736514165,
rachel w,Transient,2023-04-29,15:00,Partly cloudy,None,,,,,,,,,,,,None observed,,,,,,
tracey / lisa,Highbury Fling,2023-04-29,14:48,Partly cloudy,None,41.29911 S,174.75076E,,RY-GM,,,,,,,,Incidental,,Quiet at first but a couple of kārearea around - heard,,,,
tracey/lisa,Highbury Fling,2023-04-29,14:55,Partly cloudy,None,41.29983 S,174.75070 E,61,WM-WR,,,,1,,1,,Known territory,Lots of piwakawaka,,61,-41.299977561255695,174.75064038086316,
lisa w,Highbury Fling,2023-04-29,15:15,Partly cloudy,None,,,55,,,,,,,,,Incidental,,"very curious, likely just after Rachael W encounter?",55,-41.30279995570507,174.75039736514165,
rachel w,Clinical,2023-04-30,14:30,Partly cloudy,None,,,79,,,,,,,,,Call heard only,,Call heard from uphill toward Lone Pine,79,-41.298157563533564,174.75206098448564,
rachel w,Clinical,2023-04-30,14:42,Partly cloudy,None,,,87,RG-WM,,,,2,,1,1,Known territory,,Right by Trap 87 on Clinical this time. Followed me up the hill. Gave a couple of worms to see if he would call as GG came over last time. He did call with the second worm but GG didn't show up,87,-41.30046030107812,174.75287691660583,
rachel w,Highbury Fling,2023-04-30,15:30,Partly cloudy,None,,,59-60,,,,,4,,3,1,Incidental,Titipounamu: unbanded female and unseen companion,Uphill from trail. Was following quite close behind me and seemed familiar with mealworms,59,-41.30113505138768,174.7504150935392,
rachel w,Highbury Fling,2023-04-30,15:41,Partly cloudy,None,,,61,WM-WR,,,,,,,,Known territory,"Tieke, kakariki at Lone Pine",Flew to the side of the track when I walked past. Kept me company while I checked trail camera. Chased away another bird (didn't see who),61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2023-04-30,15:55,Partly cloudy,None,,,63,WM-RR,,,,1,,1,,Known territory,Titipounamu heard downhill,Rooting around in the pine needles uphill near the trap,63,-41.29896942789763,174.7507283955656,
annette h,Highbury Fling,2023-05-01,11:00,Partly cloudy,None,,,55,YM-OR,,,,,,,,Known territory,"tieke, kereru, warbler",No chasing this time,55,-41.30279995570507,174.75039736514165,
annette h,Highbury Fling,2023-05-01,11:00,Partly cloudy,None,,,55,BB-WM,,,,,,,,Known territory,,,55,-41.30279995570507,174.75039736514165,
annette h,Highbury Fling,2023-05-01,11:00,Partly cloudy,None,,,55,BO-WM,BO-WM,,,,,,,Banding visit,,Took a while to appear,55,-41.30279995570507,174.75039736514165,
annette h,Highbury Fling,2023-05-01,11:00,Partly cloudy,None,,,55,WM-BY,,,,,,,,Incidental,,"Followed me on to 57, where there didn't seem to be anyone else",55,-41.30279995570507,174.75039736514165,
annette h,Highbury Fling,2023-05-01,11:00,Partly cloudy,None,,,59,RG-WM,,,,,,,,Known territory,,RG-WM chased 2 others who seemed to be UB.,59,-41.30113505138768,174.7504150935392,
annette h,Highbury Fling,2023-05-01,11:00,Partly cloudy,None,,,59,WM-YO,WM-YO,,,,,,,Banding visit,,,59,-41.30113505138768,174.7504150935392,
annette h,Highbury Fling,2023-05-01,11:00,Partly cloudy,None,,,60,BG-WM,BG-WM,,,,,,,Banding visit,,Probably the 2nd UB from 59 but took a while to find it.,60,-41.30070169356118,174.7507425715453,
annette h,Highbury Fling,2023-05-01,11:00,Partly cloudy,None,,,63,WM-RR,,,,,,,,Known territory,,Followed me all the way to 67,63,-41.29896942789763,174.7507283955656,
melissa b,Highbury Fling,2023-05-01,11:30,Partly cloudy,None,,,62,WM-WR,,,,,,,,Known territory,,Very friendly as usual,62,-41.29955626741264,174.75077038396424,
melissa b,Highbury Fling,2023-05-01,12:00,Partly cloudy,None,,,70,,,,,,,,,Incidental,,"Angry calling at a flock of waxeyes, very curious and friendly towards me",70,-41.297329803730925,174.75185745955508,
rachel w,Highbury Fling,2023-05-02,12:54,Partly cloudy,None,,,66,,,,,,,,,None observed,Titipounamu heard in valley,,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-05-02,13:00,Partly cloudy,None,,,60,,,,,,,,,Call heard only,,Singing heard downhill,60,-41.30070169356118,174.7507425715453,
rachel w,Highbury Fling,2023-05-02,13:30,Partly cloudy,None,,,62,WM-WR,,,,,,,,Known territory,,Singing loudly uphill from Lone Pine track entrance,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-05-02,13:40,Partly cloudy,None,,,63,WM-RR,,,,,,,,Known territory,,,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-05-02,13:45,Partly cloudy,None,,,69,,,,,,,,,Call heard only,,Loud singing right beside track opposite Trap 69. I stopped to look but he didn't make himself known. Possibly Skippy as he's pretty shy,69,-41.297615511594586,174.75170423474674,
melissa b,Highbury Fling,2023-05-03,09:10,Overcast,None,,,70-71,,,,,,,,,Incidental,,"Calling loudly from downhill, eventually hopped up onto track, very friendly. Closer to 71.",70,-41.297329803730925,174.75185745955508,
melissa b,Highbury Fling,2023-05-03,09:40,Overcast,None,,,61,WM-RR,,,M,,,,,Known territory,,Inquisitive and friendly,61,-41.299977561255695,174.75064038086316,
melissa b,Highbury Fling,2023-05-03,09:50,Overcast,None,,,62,WM-WR,,,M,,,,,Known territory,,"Calling loudly uphill, came down and sung his absolute heart out",62,-41.29955626741264,174.75077038396424,
melissa b,Highbury Fling,2023-05-03,12:15,Overcast,None,,,66,,,,,,,,,None observed,Titipounamu heard in valley,,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-05-03,12:20,Overcast,None,,,62-63,RY-GM,,,,,,,,Incidental,,Below the track,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-05-03,12:30,Overcast,None,,,57,WM-BY,,,,,,,,Known territory,"Female hihi (KM-GK), tieke",Heard toutouwai squabbling downhill. Was quickly approached by all 3 birds. BY chasing OR but largely leaving WY alone,57,-41.302015373577966,174.7501822420483,
rachel w,Highbury Fling,2023-05-03,12:30,Overcast,None,,,57,YM-OR,,,M,,,,,Known territory,,Heard toutouwai squabbling downhill. Was quickly approached by all 3 birds. BY chasing OR but largely leaving WY alone,57,-41.302015373577966,174.7501822420483,
rachel w,Highbury Fling,2023-05-03,12:30,Overcast,None,,,57,WM-WY,,,,,,,,Known territory,,Heard toutouwai squabbling downhill. Was quickly approached by all 3 birds. BY chasing OR but largely leaving WY alone,57,-41.302015373577966,174.7501822420483,
rachel w,Highbury Fling,2023-05-03,12:45,Overcast,None,,,55,,,,,,,,,None observed,,,55,-41.30279995570507,174.75039736514165,
